timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633521484058,-0.13452148,-0.62750244,0.24749756,-6.046875,5.171875,0.0,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484117,-0.19262695,-0.5630493,0.20184326,2.390625,4.984375,1.40625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484132,-0.19970703,-0.5274048,0.22528076,3.734375,11.828125,2.90625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484182,-0.24267578,-0.4421997,0.2904663,2.8125,11.796875,0.984375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484222,-0.09790039,-0.46270752,0.29486084,7.09375,5.796875,8.625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484252,-0.19726562,-0.6152954,0.35882568,17.265625,23.890625,8.125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484297,-0.13208008,-0.50787354,0.3463745,43.359375,20.6875,12.609375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484340,-0.02319336,-0.6382446,0.07733154,45.109375,-10.484375,18.53125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484372,-0.19677734,-0.64923096,0.17279053,48.875,-10.125,28.78125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484417,-0.26513672,-1.86969,-0.16583252,13.984375,-14.359375,43.953125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484461,1.999939,-2.0,0.9237671,-84.9375,-56.28125,73.046875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484491,-2.0,1.5067749,0.28411865,229.46875,25.0625,60.625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484537,1.7746582,-0.10723877,0.15179443,90.046875,45.578125,63.640625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484572,0.09057617,-0.4414673,-0.49273682,128.60938,9.046875,59.640625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484611,0.11328125,-0.05206299,-0.32037354,116.734375,14.3125,54.015625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484662,0.06323242,-0.2810669,-0.30059814,129.40625,-12.359375,53.0625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484686,-0.13085938,-0.34136963,-0.27008057,152.10938,35.015625,65.625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484731,0.22680664,-0.22955322,-0.5720825,169.17188,15.296875,59.1875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484778,0.072509766,-0.38287354,-0.60406494,199.09375,-6.6875,74.546875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484811,1.0925293,-0.96881104,-2.0,-13.671875,-17.984375,53.625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484851,1.999939,1.999939,-1.732727,111.28125,34.1875,-64.25,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484881,-0.25512695,1.1161499,-1.177063,-40.765625,-61.34375,15.53125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484928,0.21044922,-0.442688,-1.2046509,-73.28125,-24.5625,-36.109375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521484971,0.56103516,1.0756226,-1.0645142,-40.203125,-3.171875,4.234375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521485000,0.21923828,0.024108887,-0.59698486,-57.65625,-32.0625,-46.71875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-05
1633521487446,0.020996094,-0.87823486,-0.08453369,-0.390625,7.828125,-3.953125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521487491,0.036132812,-0.75250244,-0.057678223,-7.640625,-4.609375,-2.140625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521487536,0.006591797,-0.87628174,-0.117248535,-21.28125,-9.5625,-3.171875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521487568,0.1027832,-1.0303345,-0.043029785,-23.671875,-9.78125,-3.4375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521487611,0.12988281,-1.1831665,0.046325684,-20.921875,-4.703125,-8.265625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521487656,0.016601562,-1.0588989,0.0758667,-13.09375,-1.21875,-12.84375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521487687,-0.07470703,-0.8723755,0.101745605,-7.59375,-1.484375,-13.6875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521487731,-0.041503906,-0.85894775,0.101501465,-10.34375,-8.046875,-9.875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521487776,0.0126953125,-0.7752075,0.124938965,-10.625,-10.046875,-10.609375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521487806,-0.08666992,-0.7710571,0.22698975,-22.109375,-21.9375,-5.65625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521487851,-0.08911133,-0.8569946,0.19720459,-23.265625,-23.21875,-4.8125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521487926,-0.12231445,-0.73028564,0.120788574,-16.046875,-12.390625,-3.53125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521487929,-0.0087890625,-0.87335205,0.1005249,-8.453125,-11.484375,-3.96875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521487972,0.029296875,-0.7905884,0.18548584,-4.171875,-11.546875,-5.359375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488002,-0.14868164,-0.72198486,0.21746826,2.625,0.34375,-4.046875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488047,-0.09057617,-0.4685669,0.19158936,15.390625,6.171875,6.34375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488092,-0.14770508,-0.48321533,0.09588623,9.5,8.75,8.84375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488122,-0.37817383,-0.52349854,0.29632568,24.015625,38.59375,5.25,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488168,-0.08911133,-0.52349854,0.1696167,30.5,5.78125,19.671875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488197,0.19384766,-0.7180786,-0.17999268,51.171875,6.109375,28.984375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488242,-0.060791016,-0.75445557,-0.3796997,77.578125,11.265625,42.90625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488287,1.9421387,-2.0,-2.0,-149.03125,60.34375,22.6875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488318,1.3544922,0.61712646,0.916687,272.53125,133.09375,32.921875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488362,-1.6760254,-0.58428955,0.6124878,197.14062,24.625,117.484375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488408,0.6594238,-0.26568604,-0.086242676,95.46875,-12.65625,75.921875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488437,0.03125,-0.16485596,-0.49786377,105.328125,49.78125,60.671875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488482,0.3659668,-0.013000488,-0.42633057,144.71875,1.71875,61.03125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488517,-0.08276367,-0.22711182,-0.39141846,155.25,17.625,68.46875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488556,0.34643555,-0.13043213,-0.8538208,155.17188,55.28125,79.65625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488601,1.3500977,-0.093811035,-2.0,41.390625,-181.10938,20.46875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488632,1.999939,1.934021,-2.0,-16.71875,85.609375,-24.078125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488677,0.38549805,1.2628784,-1.1155396,24.375,31.921875,56.796875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488722,-0.6977539,-0.85162354,0.07733154,-48.625,3.109375,-57.75,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488752,0.70288086,0.7963257,-0.8230591,1.03125,32.28125,9.75,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488797,0.31518555,1.1442261,-0.7998657,-23.546875,-7.171875,-12.03125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488842,0.15966797,0.011657715,-0.70318604,-25.328125,-16.84375,-20.828125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521488871,0.49267578,0.5475464,-0.81085205,-9.953125,-6.84375,-25.734375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-08
1633521490926,0.41503906,-0.4036255,-0.60406494,-31.578125,28.84375,-10.265625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521490971,0.61816406,-0.43145752,-0.614563,3.03125,58.03125,-11.84375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491001,0.27197266,-0.45220947,-0.737854,-17.1875,31.03125,-12.59375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491046,0.654541,-0.4180298,-0.96343994,-25.84375,62.5,4.453125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491091,0.5378418,-0.2210083,-0.4932251,20.640625,23.96875,-1.453125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491122,0.13598633,-0.71051025,-0.47540283,-12.4375,35.0,-4.453125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491166,0.70825195,-0.4837036,-0.5755005,14.578125,30.765625,-12.4375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491196,0.1003418,-0.5498657,-0.53302,3.875,-36.953125,-6.25,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491241,0.22265625,-0.87164307,-0.52056885,-36.078125,-32.796875,-41.46875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491286,0.3359375,-0.7337036,-0.565979,-45.25,-6.453125,-20.09375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491316,-0.1237793,-0.5093384,-0.3538208,-9.625,-39.546875,-4.109375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491361,0.17773438,-0.59161377,-0.13092041,-5.96875,-32.109375,-21.15625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491408,0.15454102,-0.54034424,-0.15484619,-12.625,2.890625,-10.828125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491436,-0.4111328,-0.8032837,-0.20928955,-70.75,-10.453125,-18.796875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491482,0.041503906,-1.0117798,-0.016418457,-73.09375,-32.078125,-32.125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491511,-0.0925293,-0.81866455,0.24969482,-46.625,-44.671875,-9.421875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491557,0.29638672,-0.38897705,-0.28326416,17.90625,-19.0,5.40625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491603,0.08691406,-0.54107666,-0.31036377,30.125,-11.453125,25.671875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491632,-0.042236328,-0.47320557,-0.10430908,45.53125,7.859375,34.390625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491677,0.084472656,-0.22467041,-0.3587036,87.5,26.1875,50.734375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491721,0.65527344,-1.8064575,-2.0,48.53125,-31.671875,59.671875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491751,1.999939,-1.0484009,0.1317749,271.0625,238.9375,93.09375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491797,-0.44091797,-1.024231,0.22723389,419.53125,-46.53125,100.3125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491842,1.2177734,1.999939,-2.0,-44.25,-179.89062,0.90625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491871,1.999939,1.999939,-1.302063,-40.453125,97.53125,-42.578125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521491916,-0.4453125,-0.3579712,-0.35211182,-101.609375,-101.3125,-6.28125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-11
1633521494481,-0.0107421875,-0.9470825,-0.3237915,-16.703125,-7.53125,-9.8125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521494511,0.09448242,-0.85040283,-0.24102783,-27.578125,-10.1875,-8.4375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521494556,-0.026123047,-0.80133057,-0.20709229,-17.28125,-2.109375,-8.890625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521494601,-0.08886719,-0.9680786,-0.24176025,-27.59375,-8.53125,-6.515625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521494631,0.11376953,-0.9260864,-0.28155518,-31.96875,-6.796875,-6.90625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521494677,0.064941406,-0.8086548,-0.109680176,-28.515625,-6.40625,-9.015625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521494721,-0.08251953,-0.8045044,-0.039123535,-33.78125,-2.8125,-8.28125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521494751,-0.041259766,-0.80670166,-0.09625244,-24.546875,-0.171875,-7.703125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521494799,0.06713867,-0.6868286,-0.015686035,-32.828125,-9.375,-10.328125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521494826,-0.07714844,-0.6890259,-0.012512207,-25.0,-8.421875,-1.546875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521494871,0.0026855469,-0.7698364,0.11468506,-31.890625,-19.5625,-6.625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521494916,-0.048095703,-0.8699341,0.003112793,-33.484375,-17.1875,-0.859375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521494946,-0.07080078,-0.8665161,0.20941162,-25.828125,-11.953125,-5.671875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521494991,-0.14819336,-0.8657837,0.17572021,-13.09375,4.875,-6.453125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495037,-0.21435547,-0.71051025,0.35491943,-6.53125,20.171875,-4.0625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495071,-0.18774414,-0.6777954,0.11175537,3.375,23.8125,-0.09375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495116,-0.23242188,-0.6253052,0.27850342,14.578125,28.25,7.015625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495156,0.099365234,-0.47906494,-0.0095825195,34.015625,17.171875,15.5,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495189,-0.057861328,-0.44073486,-0.046447754,74.296875,21.46875,30.0,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495234,0.29077148,-1.5471802,-0.79400635,25.1875,-18.125,43.625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495309,1.999939,-2.0,-0.37017822,-25.125,-51.15625,105.921875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495314,-2.0,0.50531006,-0.19293213,400.85938,-26.46875,13.140625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495352,1.0134277,0.21234131,0.6029663,153.29688,31.3125,89.625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495383,0.042236328,-0.286438,-0.7581177,157.20312,-79.84375,56.203125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495442,0.020751953,-0.5696411,0.04949951,140.90625,31.609375,66.109375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495471,-0.28686523,0.42694092,-0.45367432,181.48438,35.453125,88.40625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495502,0.40600586,-0.66241455,-0.09820557,167.23438,54.46875,66.1875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495549,0.53466797,-0.14654541,-1.9011841,80.203125,-95.40625,14.609375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495591,1.999939,1.999939,-2.0,-75.765625,89.5,-61.0625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495622,0.8852539,1.2990112,-1.0896606,48.609375,57.28125,43.515625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495681,-0.33911133,-0.17559814,-0.5713501,-15.53125,-40.25,-27.53125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495713,0.13232422,0.14837646,-0.44830322,-7.546875,-15.453125,15.75,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495742,0.5686035,1.4122925,-0.7739868,-9.265625,14.78125,-9.203125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495789,0.3618164,0.14935303,-0.40289307,-19.03125,-1.984375,-25.78125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495823,0.43554688,0.3834839,-0.6663208,-25.9375,0.21875,-2.90625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495864,0.6201172,0.76483154,-0.9746704,-19.5625,-23.25,-3.484375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495891,0.47583008,0.7045288,-1.0239868,10.84375,-8.65625,6.375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521495937,0.69799805,0.8239136,-1.003479,27.890625,-2.578125,11.6875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-16
1633521497630,0.13916016,-0.71343994,-0.31207275,-11.828125,2.890625,-12.46875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521497676,0.13916016,-0.8110962,-0.33648682,-22.90625,-11.53125,-9.375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521497723,0.21557617,-0.94732666,-0.28985596,-26.5625,-8.453125,-14.03125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521497751,0.1340332,-0.9116821,-0.2456665,-20.671875,-3.796875,-13.03125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521497796,0.10620117,-0.9026489,-0.2769165,-22.96875,-7.75,-9.265625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521497826,0.09350586,-0.91290283,-0.19805908,-16.5,-3.796875,-9.546875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521497872,0.08251953,-0.76568604,-0.121154785,-10.71875,3.546875,-5.796875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521497916,0.05883789,-0.6890259,-0.17706299,-16.96875,-0.046875,-5.09375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521497947,0.068115234,-0.5852661,-0.14190674,-16.625,-13.203125,-3.640625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521497991,-0.0949707,-0.58306885,0.09197998,-16.75,-0.90625,-13.375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498051,-0.31689453,-0.7498169,0.11541748,-26.0625,16.4375,-20.40625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498066,-0.10546875,-0.5342407,0.2074585,-58.578125,4.75,-27.765625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498111,0.18115234,-0.5232544,-0.1326294,-20.15625,14.1875,-1.703125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498158,-0.22851562,-1.0723267,0.3007202,-24.421875,-9.09375,-4.03125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498195,0.28076172,-0.85601807,-0.016662598,21.09375,-12.5625,14.84375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498233,-0.2763672,-0.96881104,0.0119018555,23.65625,-16.71875,6.78125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498263,-0.15258789,-0.58306885,-0.01373291,32.90625,-1.71875,23.78125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498310,0.064697266,-0.6255493,-0.2822876,90.78125,20.25,40.1875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498352,1.1762695,-2.0,-2.0,-23.796875,-9.359375,37.171875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498381,1.5568848,-1.8855591,0.39764404,157.79688,93.46875,106.6875,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498430,-1.4716797,-0.49224854,0.1918335,210.6875,-51.265625,56.390625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498472,1.1821289,-0.0005493164,0.25750732,117.796875,-6.09375,92.984375,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498502,-0.4296875,0.0993042,-0.3970337,126.859375,5.3125,77.390625,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498563,0.53271484,-0.24859619,-0.25689697,170.03125,25.1875,52.453125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
1633521498580,-0.1628418,-0.12652588,-0.4524536,173.95312,6.703125,68.03125,Respeck,Falling on knees,48,s1850642,,Respeck_s1850642_Falling on knees_06-10-2021_12-58-18
